theta,phi,temperature_K,delta_T_T
0.5235987755982988,1.0471975511965976,2.72500001,-3.65e-09
1.0471975511965976,2.0943951023931953,2.72499999,1.23e-09
1.5707963267948966,3.141592653589793,2.72500002,5.67e-09
2.0943951023931953,4.1887902047863905,2.72499998,-8.91e-09
2.6179938779914944,5.235987755982988,2.72500003,2.34e-09
3.141592653589793,0.0,2.72499997,-4.56e-09
3.665191429188092,1.0471975511965976,2.72500004,6.78e-09
4.1887902047863905,2.0943951023931953,2.72499996,-1.23e-09
4.71238898038469,3.141592653589793,2.72500005,3.45e-09
5.235987755982988,4.1887902047863905,2.72499995,-7.89e-09
5.759586531581287,5.235987755982988,2.72500006,8.90e-09
0.2617993877991494,0.5235987755982988,2.72499994,-2.34e-09
0.7853981633974483,1.5707963267948966,2.72500007,4.56e-09
1.3089969389957472,2.6179938779914944,2.72499993,-5.67e-09
1.832595714594046,3.665191429188092,2.72500008,6.78e-09
2.356194490192345,4.71238898038469,2.72499992,-8.90e-09
2.8797932657906435,5.759586531581287,2.72500009,1.23e-09
3.4033920413889427,0.2617993877991494,2.72499991,-3.45e-09
3.9269908169872414,1.3089969389957472,2.7250001,7.89e-09
4.4505895925855405,2.356194490192345,2.72499989,-4.56e-09
