theta,phi,temperature_K,delta_T_T,multipole_l
0.0,0.0,2.7255,1.23e-05,2
0.15707963267948966,0.3141592653589793,2.72548,-8.7e-06,3
0.3141592653589793,0.6283185307179586,2.72552,5.4e-06,4
0.47123889803846897,0.9424777960769379,2.72549,-2.1e-06,5
0.6283185307179586,1.2566370614359172,2.72551,7.8e-06,6
0.7853981633974483,1.5707963267948966,2.72547,-1.12e-05,7
0.9424777960769379,1.8849555921538759,2.72553,9.3e-06,8
1.0995574287564276,2.199114857512855,2.72546,-1.45e-05,9
1.2566370614359172,2.5132741228718345,2.72554,1.11e-05,10
1.413716694115407,2.827433388230814,2.72545,-1.67e-05,11
1.5707963267948966,3.141592653589793,2.72555,1.34e-05,12
1.7278759594743862,3.455751918948772,2.72544,-1.89e-05,13
1.8849555921538759,3.7699111843077517,2.72556,1.56e-05,14
2.0420352248333655,4.084070449666731,2.72543,-2.01e-05,15
2.199114857512855,4.39822971502571,2.72557,1.78e-05,16
2.356194490192345,4.71238898038469,2.72542,-2.23e-05,17
2.5132741228718345,5.026548245743669,2.72558,1.99e-05,18
2.670353755551324,5.340707511102648,2.72541,-2.34e-05,19
2.827433388230814,5.654866776461628,2.72559,2.12e-05,20
2.9845130209103035,5.969026041820607,2.7254,-2.45e-05,21
3.141592653589793,6.283185307179586,2.7256,2.34e-05,22
